Name,URL,Author,Price,Number of Ratings,Average Rating
"
            39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry
        ",https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1,Ranjeet Shahi,Rs.    212.00,73,3.9 out of 5 stars
"
            Pregnancy Notes: Before, During & After
        ",https://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1,Rujuta Diwekar,Rs.    112.00,139,3.9 out of 5 stars
"
            This Is Not Your Story
        ",https://www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1,Savi Sharma,Rs.    107.00,"1,874",4.5 out of 5 stars
"
            Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear
        ",https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1,Lakhmir Singh,"Rs.    1,129.00",11,4.0 out of 5 stars
"
            Relativity: The Special and the General Theory (Routledge Classics)
        ",https://www.amazon.in/Relativity-Special-General-Routledge-Classics/dp/9380914229?_encoding=UTF8&psc=1,Albert Einstein,Rs.    159.00,335,4.3 out of 5 stars
"
            The Oath of the Vayuputras (Shiva Trilogy)
        ",https://www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1,Amish Tripathi,Rs.    259.00,"1,410",4.4 out of 5 stars
"
            12 Years' Solved Papers CBSE AIPMT & NEET
        ",https://www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1,Arihant Experts,Rs.    238.00,26,4.0 out of 5 stars
"
            Pathfinder for NDA & NA National Defence Academy Naval Academy Entrance Examination
        ",https://www.amazon.in/Pathfinder-National-Defence-Entrance-Examination/dp/9312146734?_encoding=UTF8&psc=1,Arihant Experts,Rs.    374.00,17,4.1 out of 5 stars
"
            Objective NCERT at your Fingertips - Biology
        ",https://www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1,MTG Editorial Board,Rs.    565.00,176,4.7 out of 5 stars
"
            23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017)
        ",https://www.amazon.in/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1,Disha Experts,Rs.    290.00,138,4.1 out of 5 stars
"
            Homo Deus: A Brief History of Tomorrow
        ",https://www.amazon.in/Homo-Deus-Brief-History-Tomorrow/dp/1784703931?_encoding=UTF8&psc=1,Yuval Noah Harari,Rs.    386.00,165,4.5 out of 5 stars
"
            To Kill a Mockingbird
        ",https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1,Harper Lee,Rs.    230.00,"1,042",4.3 out of 5 stars
"
            An Era of Darkness: The British Empire in India
        ",https://www.amazon.in/Era-Darkness-British-Empire-India/dp/938306465X?_encoding=UTF8&psc=1,Shashi Tharoor,Rs.    437.00,317,4.5 out of 5 stars
"
            Principles and Practices of Banking
        ",https://www.amazon.in/Principles-Practices-Banking-IIBF/dp/9350597292?_encoding=UTF8&psc=1,IIBF,Rs.    489.00,189,4.5 out of 5 stars
"
            Who Will Cry When You Die?
        ",https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1,Robin Sharma,Rs.    151.00,"2,417",4.4 out of 5 stars
"
            General Knowledge
        ",https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540?_encoding=UTF8&psc=1,Dr. Binay Karna,Not Available,"1,294",4.4 out of 5 stars
"
            The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom
        ",https://www.amazon.in/Official-Cambridge-Guide-Students-Answers/dp/110744277X?_encoding=UTF8&psc=1,Pauline Cullen,Rs.    556.00,198,4.2 out of 5 stars
"
            Oxford School Atlas: India's Most Trusted Atlas
        ",https://www.amazon.in/Oxford-School-Atlas-Indias-Trusted/dp/019946071X?_encoding=UTF8&psc=1,Oxford University,Rs.    240.00,116,4.5 out of 5 stars
"
            Skin in the Game
        ",https://www.amazon.in/Skin-Game-Nassim-Nicholas-Taleb/dp/0241300657?_encoding=UTF8&psc=1,Nassim Nicholas Taleb,Rs.    539.00,7,4.3 out of 5 stars
"
            Study Guide for B.Arch 2018
        ",https://www.amazon.in/Study-Guide-B-Arch-2018-Mishra/dp/9312146033?_encoding=UTF8&psc=1,PK Mishra,Rs.    175.00,4,4.4 out of 5 stars
"
            The Blue Umbrella
        ",https://www.amazon.in/Blue-Umbrella-Ruskin-Bond/dp/8171673406?_encoding=UTF8&psc=1,Ruskin Bond,Rs.    67.00,205,4.3 out of 5 stars
"
            Life is What You Make It
        ",https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1,Preeti Shenoy,Rs.    81.00,"2,555",3.9 out of 5 stars
"
            Concepts of Physics 1
        ",https://www.amazon.in/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1,H.C. Verma,Rs.    329.00,635,4.6 out of 5 stars
"
            Trueman's UGC NET/SET General Paper I
        ",https://www.amazon.in/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1,M. Gagan,Rs.    265.00,295,4.2 out of 5 stars
"
            Animal Farm
        ",https://www.amazon.in/Animal-Farm-George-Orwell/dp/0143416316?_encoding=UTF8&psc=1,George Orwell,Rs.    71.00,746,4.6 out of 5 stars
"
            Pralay: The Great Deluge (Harappa)
        ",https://www.amazon.in/Pralay-Deluge-Harappa-Vineet-Bajpai/dp/8193642406?_encoding=UTF8&psc=1,Vineet Bajpai,Rs.    162.00,152,4.2 out of 5 stars
